2118371 data samples found
Train Epoch: 0 [11000/52959 (0.011725233867764473)]
Train Epoch: 0 [11100/52959 (0.006928248330950737)]
Train Epoch: 0 [11200/52959 (0.005952844396233559)]
Train Epoch: 0 [11300/52959 (0.006143324542790651)]
Train Epoch: 0 [11400/52959 (0.011053814552724361)]
Train Epoch: 0 [11500/52959 (0.014527058228850365)]
Train Epoch: 0 [11600/52959 (0.008986270986497402)]
Train Epoch: 0 [11700/52959 (0.0061173951253294945)]
Train Epoch: 0 [11800/52959 (0.008566226810216904)]
Train Epoch: 0 [11900/52959 (0.0052865659818053246)]
Train Epoch: 0 [12000/52959 (0.008839322254061699)]
Train Epoch: 0 [12100/52959 (0.007240799721330404)]
Train Epoch: 0 [12200/52959 (0.006197992246598005)]
Train Epoch: 0 [12300/52959 (0.008988307788968086)]
Train Epoch: 0 [12400/52959 (0.008334675803780556)]
Train Epoch: 0 [12500/52959 (0.009984590113162994)]
Train Epoch: 0 [12600/52959 (0.007076261565089226)]
Train Epoch: 0 [12700/52959 (0.00664666760712862)]
Train Epoch: 0 [12800/52959 (0.00634576752781868)]
Train Epoch: 0 [12900/52959 (0.008921865373849869)]
Train Epoch: 0 [13000/52959 (0.01341248583048582)]
Train Epoch: 0 [13100/52959 (0.008332183584570885)]
Train Epoch: 0 [13200/52959 (0.006853299681097269)]
Train Epoch: 0 [13300/52959 (0.008276956155896187)]
Train Epoch: 0 [13400/52959 (0.012553580105304718)]
Train Epoch: 0 [13500/52959 (0.0067948754876852036)]
Train Epoch: 0 [13600/52959 (0.016856146976351738)]
Train Epoch: 0 [13700/52959 (0.008689971640706062)]
Train Epoch: 0 [13800/52959 (0.009445680305361748)]
Train Epoch: 0 [13900/52959 (0.009174065664410591)]
Train Epoch: 0 [14000/52959 (0.00861198641359806)]
Train Epoch: 0 [14100/52959 (0.01542005967348814)]
Train Epoch: 0 [14200/52959 (0.00344272842630744)]
Train Epoch: 0 [14300/52959 (0.006515257526189089)]
Train Epoch: 0 [14400/52959 (0.012890838086605072)]
Train Epoch: 0 [14500/52959 (0.004638761281967163)]
Train Epoch: 0 [14600/52959 (0.00690439622849226)]
Train Epoch: 0 [14700/52959 (0.011636903509497643)]
Train Epoch: 0 [14800/52959 (0.006894890684634447)]
Train Epoch: 0 [14900/52959 (0.015441898256540298)]
Train Epoch: 0 [15000/52959 (0.016212748363614082)]
Train Epoch: 0 [15100/52959 (0.005026449449360371)]
Train Epoch: 0 [15200/52959 (0.017284197732806206)]
Train Epoch: 0 [15300/52959 (0.006457728333771229)]
Train Epoch: 0 [15400/52959 (0.004890271928161383)]
Train Epoch: 0 [15500/52959 (0.007313191425055265)]
Train Epoch: 0 [15600/52959 (0.006235617212951183)]
Train Epoch: 0 [15700/52959 (0.007489452138543129)]
Train Epoch: 0 [15800/52959 (0.007389539387077093)]
Train Epoch: 0 [15900/52959 (0.006841752678155899)]
Train Epoch: 0 [16000/52959 (0.0041449773125350475)]
Train Epoch: 0 [16100/52959 (0.008534937165677547)]
Train Epoch: 0 [16200/52959 (0.005305374972522259)]
Train Epoch: 0 [16300/52959 (0.006743386387825012)]
Train Epoch: 0 [16400/52959 (0.004123035352677107)]
Train Epoch: 0 [16500/52959 (0.007624431513249874)]
Train Epoch: 0 [16600/52959 (0.006541471462696791)]
Train Epoch: 0 [16700/52959 (0.0062476349994540215)]
Train Epoch: 0 [16800/52959 (0.004828629549592733)]
Train Epoch: 0 [16900/52959 (0.006935799028724432)]
