2118371 data samples found
Train Epoch: 0 [11000/169469 (0.047150325030088425)]
Train Epoch: 0 [11100/169469 (0.06231750175356865)]
Train Epoch: 0 [11200/169469 (0.02882399968802929)]
Train Epoch: 0 [11300/169469 (0.03441693261265755)]
Train Epoch: 0 [11400/169469 (0.023249126970767975)]
Train Epoch: 0 [11500/169469 (0.03655370697379112)]
Train Epoch: 0 [11600/169469 (0.03486226126551628)]
Train Epoch: 0 [11700/169469 (0.03327871114015579)]
Train Epoch: 0 [11800/169469 (0.036274176090955734)]
Train Epoch: 0 [11900/169469 (0.019652973860502243)]
Train Epoch: 0 [12000/169469 (0.045337822288274765)]
Train Epoch: 0 [12100/169469 (0.0375303253531456)]
Train Epoch: 0 [12200/169469 (0.057332783937454224)]
Train Epoch: 0 [12300/169469 (0.033807434141635895)]
Train Epoch: 0 [12400/169469 (0.0654359981417656)]
Train Epoch: 0 [12500/169469 (0.024665620177984238)]
Train Epoch: 0 [12600/169469 (0.04323376342654228)]
Train Epoch: 0 [12700/169469 (0.03299349173903465)]
Train Epoch: 0 [12800/169469 (0.02908146195113659)]
Train Epoch: 0 [12900/169469 (0.057751744985580444)]
Train Epoch: 0 [13000/169469 (0.04285544529557228)]
Train Epoch: 0 [13100/169469 (0.059651441872119904)]
Train Epoch: 0 [13200/169469 (0.04115940257906914)]
Train Epoch: 0 [13300/169469 (0.030261162668466568)]
Train Epoch: 0 [13400/169469 (0.040004558861255646)]
Train Epoch: 0 [13500/169469 (0.05047282204031944)]
Train Epoch: 0 [13600/169469 (0.07199185341596603)]
Train Epoch: 0 [13700/169469 (0.07608765363693237)]
Train Epoch: 0 [13800/169469 (0.055686868727207184)]
Train Epoch: 0 [13900/169469 (0.03541428968310356)]
Train Epoch: 0 [14000/169469 (0.022242432460188866)]
Train Epoch: 0 [14100/169469 (0.0573279932141304)]
Train Epoch: 0 [14200/169469 (0.0593281053006649)]
Train Epoch: 0 [14300/169469 (0.04879767447710037)]
Train Epoch: 0 [14400/169469 (0.06978415697813034)]
Train Epoch: 0 [14500/169469 (0.06845002621412277)]
Train Epoch: 0 [14600/169469 (0.062034972012043)]
Train Epoch: 0 [14700/169469 (0.0615164116024971)]
Train Epoch: 0 [14800/169469 (0.02487221360206604)]
Train Epoch: 0 [14900/169469 (0.04635503515601158)]
Train Epoch: 0 [15000/169469 (0.04608532413840294)]
Train Epoch: 0 [15100/169469 (0.05356400087475777)]
Train Epoch: 0 [15200/169469 (0.03618234768509865)]
Train Epoch: 0 [15300/169469 (0.052431948482990265)]
Train Epoch: 0 [15400/169469 (0.030240541324019432)]
Train Epoch: 0 [15500/169469 (0.014497500844299793)]
Train Epoch: 0 [15600/169469 (0.04977196455001831)]
Train Epoch: 0 [15700/169469 (0.04296565055847168)]
Train Epoch: 0 [15800/169469 (0.02861971966922283)]
Train Epoch: 0 [15900/169469 (0.033603839576244354)]
Train Epoch: 0 [16000/169469 (0.0354718454182148)]
Train Epoch: 0 [16100/169469 (0.02916475012898445)]
Train Epoch: 0 [16200/169469 (0.05344075709581375)]
